text,language
This is an official complaint regarding my pending wages.,English
Please assist me in finding a free legal representative.,English
My landlord has locked me out of the apartment illegally.,English
The online store sent me a fake product and refused refund.,English
I am facing continuous mental harassment from my manager.,English
"என் சம்பளம் மூன்று மாதமாக வரவில்லை, தயவு செய்து உதவுங்கள்.",Tamil
பக்கத்து வீட்டுக்காரர் என் நிலத்தை ஆக்கிரமிப்பு செய்துள்ளார்.,Tamil
காவல் துறையினர் எனது புகார் மனுவை வாங்க மறுக்கின்றனர்.,Tamil
"ஆன்லைனில் பொருள் வாங்கி ஏமாந்துவிட்டேன், பணத்தை மீட்டுத் தாருங்கள்.",Tamil
கணவர் குடித்துவிட்டு தினமும் என்னை அடிக்கிறார்.,Tamil
मेरा वेतन पिछले दो महीने से बकाया है और कंपनी नहीं दे रही है।,Hindi
पड़ोसी ने मेरी ज़मीन पर कब्ज़ा कर लिया है और धमकी दे रहा है।,Hindi
"मुझे कोर्ट से समन मिला है, कानूनी सहायता की आवश्यकता है।",Hindi
पुलिस मेरी चोरी की बाइक की रिपोर्ट नहीं लिख रही है।,Hindi
मुझे सरकारी आवास योजना के लिए आवेदन करने में मदद चाहिए।,Hindi
Ennoda office-la salary tharama romba delay panranga.,Tanglish
Shopkeeper warranty replacement thara matenguran.,Tanglish
UPI scam click panni bank account hacking aayiduche.,Tanglish
Veetukaaran advance deposit thiruppi tharala.,Tanglish
Free lawyer apply panna enna process nu sollunga.,Tanglish
