category,required_documents
LABOUR_DISPUTE,"Salary Slip,Employee ID,Bank Statement"
CONSUMER_COMPLAINT,"Invoice,Transaction Screenshot,Product Image"
CYBER_CRIME,"Bank Statement,Transaction Screenshot,Aadhaar Card"
PROPERTY_DISPUTE,"Property Document,Sale Deed,Aadhaar Card"
WOMEN_SAFETY,"Aadhaar Card,Police Complaint Copy"
DOMESTIC_VIOLENCE,"Medical Report,Police Complaint Copy,Aadhaar Card"
CRIMINAL_COMPLAINT,"Police Complaint Copy,Aadhaar Card,FIR Copy"
GOVERNMENT_SCHEME,"Ration Card,Income Certificate,Aadhaar Card"
FAMILY_DISPUTE,"Marriage Certificate,Aadhaar Card,Property Deed"
GENERAL_LEGAL_AID,"Aadhaar Card,Summon Copy"
MOTOR_ACCIDENT_CLAIM,"FIR Copy,Medical Report,Insurance Policy"
INSURANCE_CLAIM,"Insurance Policy,Rejection Letter,Premium Receipts"
BANKING_DISPUTE,"Bank Statement,Complaint Letter to Bank,Passbook Copy"
RENT_TENANT_DISPUTE,"Rent Agreement,Rent Receipts,Eviction Notice"
MEDICAL_NEGLIGENCE,"Medical Report,Treatment Bills,Prescription Sheets"
EDUCATION_DISPUTE,"Fee Receipts,Admission Card,Certificate Copies"
WORKPLACE_HARASSMENT,"Employment Contract,Email/Chat Screenshots"
SENIOR_CITIZEN_ABUSE,"Age Proof,Aadhaar Card,Medical Report"
CHILD_WELFARE,"Child Identity Proof,Guardian Aadhaar Card"
DISABILITY_RIGHTS,"Disability Certificate,Aadhaar Card"
CASTE_DISCRIMINATION,"Community Certificate,Aadhaar Card,Complaint Copy"
POLICE_MISCONDUCT,"FIR Copy,Complaint Copy,Aadhaar Card"
CORRUPTION_BRIBERY,"Evidence (Audio/Video),Transaction Proof"
CIVIC_INFRASTRUCTURE,"Grievance Letter,Infrastructure Photos"
RTI_APPLICATION,"RTI Draft Copy,Fee Receipt,Aadhaar Card"
