question,language,category,answer,safety_disclaimer_required
what is the legal aid authority variant 0,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 0,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 0,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 0,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 0,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 1,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 1,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 1,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 1,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 1,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 2,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 2,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 2,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 2,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 2,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 3,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 3,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 3,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 3,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 3,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 4,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 4,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 4,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 4,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 4,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 5,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 5,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 5,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 5,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 5,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 6,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 6,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 6,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 6,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 6,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 7,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 7,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 7,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 7,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 7,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 8,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 8,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 8,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 8,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 8,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 9,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 9,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 9,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 9,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 9,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 10,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 10,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 10,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 10,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 10,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 11,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 11,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 11,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 11,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 11,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 12,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 12,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
