category,priority,user_query,answer,steps
LABOUR_DISPUTE,HIGH,Salary not paid variant 0,You can submit details to the Labour Office.,Collect salary proof|Prepare written complaint|Approach Labour Office|Keep acknowledgement copy
CONSUMER_COMPLAINT,MEDIUM,Received damaged product variant 0,You should file a claim in the Consumer Forum.,Save order invoice|Take photo of product|Approach Consumer Forum|File notice
CYBER_CRIME,HIGH,Hacked account variant 0,Report immediately to Cyber Cell.,Call 1930 immediately|Take account screenshots|Register Cyber Cell case|Inform bank
PROPERTY_DISPUTE,MEDIUM,Land encroachment variant 0,Consult DLSA for mediation or file a suit.,Obtain surveyor report|Present property deed|Consult civil lawyer|Initiate mediation
DOMESTIC_VIOLENCE,CRITICAL,Physical violence variant 0,Contact Women Helpline or Local Protection Officer.,Go to safety first|Contact helpline 181|Record medical injuries|File police report
CRIMINAL_COMPLAINT,CRITICAL,Robbery at home variant 0,Visit local Police Station to register FIR.,Ensure safety first|Do not touch scene|Visit Police Station|Register FIR copy
GOVERNMENT_SCHEME,LOW,Pension issue variant 0,File grievance at District Grievance cell.,Collect eligibility proofs|Visit grievance officer|Submit application|Track status
GENERAL_LEGAL_AID,LOW,Witness summon variant 0,Contact DLSA to obtain legal counseling.,Read summon details|Obtain DLSA counseling|Reach court on time|Take legal guides
LABOUR_DISPUTE,HIGH,Salary not paid variant 1,You can submit details to the Labour Office.,Collect salary proof|Prepare written complaint|Approach Labour Office|Keep acknowledgement copy
CONSUMER_COMPLAINT,MEDIUM,Received damaged product variant 1,You should file a claim in the Consumer Forum.,Save order invoice|Take photo of product|Approach Consumer Forum|File notice
CYBER_CRIME,HIGH,Hacked account variant 1,Report immediately to Cyber Cell.,Call 1930 immediately|Take account screenshots|Register Cyber Cell case|Inform bank
PROPERTY_DISPUTE,MEDIUM,Land encroachment variant 1,Consult DLSA for mediation or file a suit.,Obtain surveyor report|Present property deed|Consult civil lawyer|Initiate mediation
DOMESTIC_VIOLENCE,CRITICAL,Physical violence variant 1,Contact Women Helpline or Local Protection Officer.,Go to safety first|Contact helpline 181|Record medical injuries|File police report
CRIMINAL_COMPLAINT,CRITICAL,Robbery at home variant 1,Visit local Police Station to register FIR.,Ensure safety first|Do not touch scene|Visit Police Station|Register FIR copy
GOVERNMENT_SCHEME,LOW,Pension issue variant 1,File grievance at District Grievance cell.,Collect eligibility proofs|Visit grievance officer|Submit application|Track status
GENERAL_LEGAL_AID,LOW,Witness summon variant 1,Contact DLSA to obtain legal counseling.,Read summon details|Obtain DLSA counseling|Reach court on time|Take legal guides
LABOUR_DISPUTE,HIGH,Salary not paid variant 2,You can submit details to the Labour Office.,Collect salary proof|Prepare written complaint|Approach Labour Office|Keep acknowledgement copy
