complaint_text,category,priority,district,authority_label
My company did not pay my salary for 3 months.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
Employer terminated me without notice or severance pay.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
Working extra hours but no overtime pay given.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
Ennoda office-la 3 maasamaa sambalam tharala.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
Company karanga ennoda salary tharama emathuranga.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
3 மாதங்களாக என் நிறுவனம் எனக்கு சம்பளம் வழங்கவில்லை.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
முன்னறிவிப்பு இல்லாமல் வேலைநீக்கம் செய்யப்பட்டேன்.,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
कंपनी ने पिछले तीन महीने का वेतन नहीं दिया है।,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
बिना किसी नोटिस के नौकरी से निकाल दिया गया।,LABOUR_DISPUTE,LOW,Coimbatore,Labour Office
Bought a mobile phone online but received a soap bar.,CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
Store refusing to honor the 1-year product warranty.,CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
Charged extra double amount than the MRP printed.,CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
"Online-la phone order panna, aana dummy box vandhuchu.",CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
"Shopkeeper warranty card kudukala, replace panna maatranga.",CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
"ஆன்லைனில் வாங்கிய தயாரிப்பு சேதமடைந்துள்ளது, திரும்பப் பெற மறுக்கிறார்கள்.",CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
அதிகப்படியான விலை வசூலிக்கும் கடைக்காரர்.,CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
अमेज़न से नकली प्रोडक्ट मिला है और पैसे वापस नहीं कर रहे।,CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
दुकानदार वारंटी में सामान बदलने से मना कर रहा है।,CONSUMER_COMPLAINT,LOW,Coimbatore,Consumer Forum
Lost 50000 rupees due to a fake UPI QR code scam.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
Bank account hacked and savings transferred online.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
Received phishing links asking for my net banking OTP.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
Ennoda bank account hacking aagi panam pochu.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
UPI scanner scam-la 10000 rubaa tholachuten.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
போலி ஓடிபி மூலம் எனது கணக்கிலிருந்து பணம் திருடப்பட்டது.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
வங்கி கணக்கு ஹேக் செய்யப்பட்டு பரிவர்த்தனை நடந்துள்ளது.,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
फेसबुक अकाउंट हैक करके पैसे मांगे जा रहे हैं।,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
बैंक मैनेजर बनकर ओटीपी पूछा और पैसे निकाल लिए।,CYBER_CRIME,LOW,Coimbatore,Cyber Crime Portal
Neighbor encroached my boundary wall and built a gate.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Landlord refusing to return my security deposit.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Forged property patta documents used to sell my land.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Pakkathu veetukaaran enga idathula encroaching panran.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
Landlord advance panatha thiruppi tharama emathuran.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
அண்டை வீட்டார் எனது நில எல்லையை ஆக்கிரமித்து கட்டியுள்ளனர்.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
போலி பத்திரம் தயாரித்து எனது வீட்டை விற்க முயல்கிறார்கள்.,PROPERTY_DISPUTE,LOW,Coimbatore,Police Station
