text,language_code
my company has not paid my salary for two months,en
please help: my company has not paid my salary for two months,en
urgent request: my company has not paid my salary for two months,en
"dear sir, my company has not paid my salary for two months",en
complaint copy: my company has not paid my salary for two months,en
i want to report: my company has not paid my salary for two months,en
legal issue: my company has not paid my salary for two months,en
grievance: my company has not paid my salary for two months,en
my company has not paid my salary for two months please support me.,en
my company has not paid my salary for two months immediately action required.,en
my company has not paid my salary for two months kindly check this issue.,en
my company has not paid my salary for two months need guidance.,en
"hello, my company has not paid my salary for two months thank you.",en
i want to register a consumer complaint against the seller,en
please help: i want to register a consumer complaint against the seller,en
urgent request: i want to register a consumer complaint against the seller,en
"dear sir, i want to register a consumer complaint against the seller",en
complaint copy: i want to register a consumer complaint against the seller,en
i want to report: i want to register a consumer complaint against the seller,en
legal issue: i want to register a consumer complaint against the seller,en
grievance: i want to register a consumer complaint against the seller,en
i want to register a consumer complaint against the seller please support me.,en
i want to register a consumer complaint against the seller immediately action required.,en
i want to register a consumer complaint against the seller kindly check this issue.,en
i want to register a consumer complaint against the seller need guidance.,en
"hello, i want to register a consumer complaint against the seller thank you.",en
online fraud stole ten thousand rupees via upi scanner,en
please help: online fraud stole ten thousand rupees via upi scanner,en
urgent request: online fraud stole ten thousand rupees via upi scanner,en
"dear sir, online fraud stole ten thousand rupees via upi scanner",en
complaint copy: online fraud stole ten thousand rupees via upi scanner,en
i want to report: online fraud stole ten thousand rupees via upi scanner,en
legal issue: online fraud stole ten thousand rupees via upi scanner,en
grievance: online fraud stole ten thousand rupees via upi scanner,en
online fraud stole ten thousand rupees via upi scanner please support me.,en
online fraud stole ten thousand rupees via upi scanner immediately action required.,en
online fraud stole ten thousand rupees via upi scanner kindly check this issue.,en
online fraud stole ten thousand rupees via upi scanner need guidance.,en
"hello, online fraud stole ten thousand rupees via upi scanner thank you.",en
husband beats me daily and demands dowry harassment,en
please help: husband beats me daily and demands dowry harassment,en
urgent request: husband beats me daily and demands dowry harassment,en
"dear sir, husband beats me daily and demands dowry harassment",en
complaint copy: husband beats me daily and demands dowry harassment,en
i want to report: husband beats me daily and demands dowry harassment,en
legal issue: husband beats me daily and demands dowry harassment,en
grievance: husband beats me daily and demands dowry harassment,en
husband beats me daily and demands dowry harassment please support me.,en
husband beats me daily and demands dowry harassment immediately action required.,en
husband beats me daily and demands dowry harassment kindly check this issue.,en
husband beats me daily and demands dowry harassment need guidance.,en
"hello, husband beats me daily and demands dowry harassment thank you.",en
police refused to register my fir for stolen bike,en
please help: police refused to register my fir for stolen bike,en
urgent request: police refused to register my fir for stolen bike,en
"dear sir, police refused to register my fir for stolen bike",en
complaint copy: police refused to register my fir for stolen bike,en
i want to report: police refused to register my fir for stolen bike,en
legal issue: police refused to register my fir for stolen bike,en
grievance: police refused to register my fir for stolen bike,en
police refused to register my fir for stolen bike please support me.,en
police refused to register my fir for stolen bike immediately action required.,en
police refused to register my fir for stolen bike kindly check this issue.,en
police refused to register my fir for stolen bike need guidance.,en
"hello, police refused to register my fir for stolen bike thank you.",en
employee contract was terminated without prior notice,en
please help: employee contract was terminated without prior notice,en
urgent request: employee contract was terminated without prior notice,en
"dear sir, employee contract was terminated without prior notice",en
complaint copy: employee contract was terminated without prior notice,en
i want to report: employee contract was terminated without prior notice,en
legal issue: employee contract was terminated without prior notice,en
grievance: employee contract was terminated without prior notice,en
employee contract was terminated without prior notice please support me.,en
employee contract was terminated without prior notice immediately action required.,en
employee contract was terminated without prior notice kindly check this issue.,en
employee contract was terminated without prior notice need guidance.,en
"hello, employee contract was terminated without prior notice thank you.",en
need legal advice regarding property partition dispute with neighbor,en
please help: need legal advice regarding property partition dispute with neighbor,en
urgent request: need legal advice regarding property partition dispute with neighbor,en
"dear sir, need legal advice regarding property partition dispute with neighbor",en
complaint copy: need legal advice regarding property partition dispute with neighbor,en
i want to report: need legal advice regarding property partition dispute with neighbor,en
legal issue: need legal advice regarding property partition dispute with neighbor,en
grievance: need legal advice regarding property partition dispute with neighbor,en
need legal advice regarding property partition dispute with neighbor please support me.,en
need legal advice regarding property partition dispute with neighbor immediately action required.,en
need legal advice regarding property partition dispute with neighbor kindly check this issue.,en
need legal advice regarding property partition dispute with neighbor need guidance.,en
"hello, need legal advice regarding property partition dispute with neighbor thank you.",en
women safety concern and domestic violence reporting,en
please help: women safety concern and domestic violence reporting,en
urgent request: women safety concern and domestic violence reporting,en
"dear sir, women safety concern and domestic violence reporting",en
complaint copy: women safety concern and domestic violence reporting,en
i want to report: women safety concern and domestic violence reporting,en
legal issue: women safety concern and domestic violence reporting,en
grievance: women safety concern and domestic violence reporting,en
women safety concern and domestic violence reporting please support me.,en
women safety concern and domestic violence reporting immediately action required.,en
women safety concern and domestic violence reporting kindly check this issue.,en
women safety concern and domestic violence reporting need guidance.,en
"hello, women safety concern and domestic violence reporting thank you.",en
cyber crime cell help for otp banking scam,en
please help: cyber crime cell help for otp banking scam,en
urgent request: cyber crime cell help for otp banking scam,en
"dear sir, cyber crime cell help for otp banking scam",en
complaint copy: cyber crime cell help for otp banking scam,en
i want to report: cyber crime cell help for otp banking scam,en
retail store refused to refund money for defective product,en
unpaid wages from my textile employer for a long time,en
landlord is threatening to evict me without notice,en
stolen money through internet banking phishing link,en
illegal construction by neighbor on my side of land,en
physical assault and threat by local goons,en
need free legal representative for labor court,en
refund delay on e-commerce transaction refund status,en
sexual harassment at workplace by senior executive,en
fraudulent call pretending to be bank manager took money,en
wrongful termination from service without pay,en
என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
please help: என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
urgent request: என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
"dear sir, என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது",ta
complaint copy: என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
i want to report: என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
legal issue: என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
grievance: என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது,ta
என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது please support me.,ta
என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது immediately action required.,ta
என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது kindly check this issue.,ta
என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது need guidance.,ta
"hello, என் சம்பளம் இரண்டு மாதமாக தரவில்லை என்ன செய்வது thank you.",ta
நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
please help: நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
urgent request: நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
"dear sir, நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்",ta
